,Reference,Assembler,NGx,Basepairs
0,Bacillus_subtilis,MINIA,0,117945
1,Bacillus_subtilis,MINIA,1,117945
2,Bacillus_subtilis,MINIA,2,117945
3,Bacillus_subtilis,MINIA,3,103892
4,Bacillus_subtilis,MINIA,4,103892
5,Bacillus_subtilis,MINIA,5,103892
6,Bacillus_subtilis,MINIA,6,102497
7,Bacillus_subtilis,MINIA,7,102497
8,Bacillus_subtilis,MINIA,8,102497
9,Bacillus_subtilis,MINIA,9,101687
10,Bacillus_subtilis,MINIA,10,101687
11,Bacillus_subtilis,MINIA,11,91370
12,Bacillus_subtilis,MINIA,12,91370
13,Bacillus_subtilis,MINIA,13,77259
14,Bacillus_subtilis,MINIA,14,77259
15,Bacillus_subtilis,MINIA,15,76062
16,Bacillus_subtilis,MINIA,16,76062
17,Bacillus_subtilis,MINIA,17,74275
18,Bacillus_subtilis,MINIA,18,74275
19,Bacillus_subtilis,MINIA,19,71660
20,Bacillus_subtilis,MINIA,20,71660
21,Bacillus_subtilis,MINIA,21,66963
22,Bacillus_subtilis,MINIA,22,63737
23,Bacillus_subtilis,MINIA,23,63737
24,Bacillus_subtilis,MINIA,24,63201
25,Bacillus_subtilis,MINIA,25,62520
26,Bacillus_subtilis,MINIA,26,62520
27,Bacillus_subtilis,MINIA,27,62148
28,Bacillus_subtilis,MINIA,28,62148
29,Bacillus_subtilis,MINIA,29,61848
30,Bacillus_subtilis,MINIA,30,60331
31,Bacillus_subtilis,MINIA,31,60331
32,Bacillus_subtilis,MINIA,32,58832
33,Bacillus_subtilis,MINIA,33,58393
34,Bacillus_subtilis,MINIA,34,56211
35,Bacillus_subtilis,MINIA,35,56211
36,Bacillus_subtilis,MINIA,36,55052
37,Bacillus_subtilis,MINIA,37,54122
38,Bacillus_subtilis,MINIA,38,54122
39,Bacillus_subtilis,MINIA,39,51759
40,Bacillus_subtilis,MINIA,40,51545
41,Bacillus_subtilis,MINIA,41,50907
42,Bacillus_subtilis,MINIA,42,50628
43,Bacillus_subtilis,MINIA,43,50628
44,Bacillus_subtilis,MINIA,44,49888
45,Bacillus_subtilis,MINIA,45,49102
46,Bacillus_subtilis,MINIA,46,47984
47,Bacillus_subtilis,MINIA,47,47537
48,Bacillus_subtilis,MINIA,48,46155
